"Net.Income","Class","Year","Cleaning.Supplies","Paper.Goods","Services","Total.Income","Gross.Profit","Payroll.Expenses","Total.Expense"
2204.37,1,2019,300,0,4200,4500,4500,2295.63,2295.63
2319.27,1,2019,600,0,5400,6000,6000,3680.73,3680.73
11401.12,2,2019,2518.75,0,23250,25768.75,25768.75,14367.63,14367.63
4670.37,3,2019,830,73.09,13355,14258.09,14258.09,9587.72,9587.72
21692.87,3,2019,1708.75,6041.57,30086.25,37836.57,37836.57,16143.7,16143.7
400,3,2019,75,0,325,400,400,0,0
1903.7,1,2019,300,0,2100,2400,2400,496.3,496.3
18297.36,3,2019,1170,0,33268.75,34438.75,34438.75,16141.39,16141.39
4834.81,1,2019,925,0,8745,9670,9670,4835.19,4835.19
4834.81,1,2019,925,0,8745,9670,9670,4835.19,4835.19
11514.84,2,2019,1800,0,17550,19350,19350,7835.16,7835.16
8439.57,1,2019,1550,0,31840,33390,33390,24950.43,24950.43
3895.52,1,2019,600,0,5400,6000,6000,2104.48,2104.48
300,2,2019,150,0,150,300,300,0,0
2250.97,1,2019,522,0,2862,3384,3384,1133.03,1133.03
1750,2,2019,1750,0,0,1750,1750,0,0
4067.06,4,2019,1028.56,0,11280,12308.56,12308.56,8241.5,8241.5
15814.42,1,2019,2100,0,26280,28380,28380,12565.58,12565.58
3990.9,1,2019,300,0,4800,5100,5100,1109.1,1109.1
21382.47,3,2019,2775,63.72,41285,44123.72,44123.72,22741.25,22741.25
703.75,2,2019,800,0,0,800,800,96.25,96.25
46720.35,2,2019,3150,8327.11,73025,84502.11,84502.11,37781.76,37781.76
5663.36,4,2019,3510.43,0,22249.41,25759.84,25759.84,20096.48,20096.48
23693.57,1,2019,0,0,49575,49575,49575,25481.43,25881.43
52569.99,2,2019,5580,32225.83,65220,103025.83,103025.83,50455.84,50455.84
20523.9,3,2019,2850,0,39900,42750,42750,22226.1,22226.1
3360.44,4,2019,600,0,9600,10200,10200,6839.56,6839.56
13661.32,3,2019,1364.06,4479.58,17475,23318.64,23318.64,9657.32,9657.32
37720.67,2,2019,3000,4112.82,45000,52112.82,52112.82,14392.15,14392.15
3610.94,1,2019,300,0,4800,5100,5100,1489.06,1489.06
13717.67,4,2019,2374,0,21900,24274,24274,10556.33,10556.33
2919.98,1,2019,660,0,5400,6060,6060,3140.02,3140.02
8807.73,1,2019,904,0,15476,16380,16380,7572.27,7572.27
18104.65,1,2019,3072,0,37428,40500,40500,22395.35,22395.35
3745.64,1,2019,630,381.99,3850,4861.99,4861.99,1116.35,1116.35
-3775.28,2,2019,0,0,0,0,0,3775.28,3775.28
4891.65,1,2019,0,0,6550,6550,6550,1658.35,1658.35
1019.67,4,2019,2400,0,24000,26400,26400,25660.33,25380.33
13991.26,3,2019,1306.25,4216.67,18300,23822.92,23822.92,9831.66,9831.66
2696.47,1,2019,360,0,3240,3600,3600,903.53,903.53
15087.09,3,2019,1855,331.48,34624.75,36811.23,36811.23,21724.14,21724.14
20267.73,1,2019,1380,3245.01,30500,35125.01,35125.01,14857.28,14857.28
3917.44,1,2019,1080,0,6300,7380,7380,3462.56,3462.56
3382.5,1,2019,300,0,5100,5400,5400,2017.5,2017.5
6023.7,1,2019,1560,0,12000,13560,13560,7536.3,7536.3
3949.8,1,2019,300,0,5580,5880,5880,1930.2,1930.2
3122.83,1,2019,300,0,4800,5100,5100,1977.17,1977.17
1112.02,1,2019,780,0,7080,7860,7860,6747.98,6747.98
3517.34,1,2019,300,0,4800,5100,5100,1582.66,1582.66
4422.25,2,2019,900,0,8700,9600,9600,5177.75,5177.75
1164.96,3,2019,0,0,2300,2300,2300,1135.04,1135.04
16947.94,2,2019,3760,0,26950,30710,30710,13762.06,13762.06
4480.65,2,2019,1500,0,3500,5000,5000,519.35,519.35
2356.78,1,2019,300,177.93,2400,2877.93,2877.93,521.15,521.15
6705.3,1,2019,1300,0,25600,26900,26900,20194.7,20194.7
500,2,2019,200,0,300,500,500,0,0
100,2,2019,15,0,85,100,100,0,0
36422.63,2,2019,5350,0,89700,95050,95050,58627.37,58627.37
5278.52,1,2019,480,640.89,6660,7780.89,7780.89,2502.37,2502.37
-14015.23,1,2019,0,0,0,0,0,14015.23,14015.23
18237.88,1,2019,2850,0,21750,24600,24600,6362.12,6362.12
11210.77,3,2019,975,3198.03,16200,20373.03,20373.03,9162.26,9162.26
20091.82,3,2019,2775,0,35375,38150,38150,18058.18,18058.18
16447.5,1,2019,1200,0,33600,34800,34800,18352.5,18352.5
1871.09,2,2019,1020,0,7200,8220,8220,6348.91,6348.91
137817.07,2,2019,12153,0,210768.63,222922.11,222922.11,85105.04,85105.04
8085.34,4,2019,2525,0,25500,28025,28025,19939.66,19939.66
3856.36,1,2019,600,0,5400,6000,6000,2143.64,2143.64
1364.25,1,2019,354.88,105,950,1409.88,1409.88,45.63,45.63
4560.75,1,2019,840,991.52,5280,7111.52,7111.52,2550.77,2550.77
15957.35,1,2019,1200,2065.97,20400,23665.97,23665.97,7708.62,7708.62
2592.88,1,2019,300,0,4800,5100,5100,2507.12,2507.12
3134.74,1,2019,300,0,4800,5100,5100,1965.26,1965.26
-4047.26,1,2019,0,0,0,0,0,4047.26,4047.26
17218.15,1,2019,1975,2448.07,40943.83,45366.9,45366.9,28148.75,28148.75
8346.32,1,2019,1159.68,2969.77,13020,17149.45,17149.45,8803.13,8803.13
3650.88,1,2019,600,0,5400,6000,6000,2349.12,2349.12
3111.32,2,2019,390,0,3142.5,3532.5,3532.5,421.18,421.18
9274.29,3,2019,407.88,0,15300,15707.88,15707.88,5998.59,6433.59
6006.88,1,2019,900,0,7500,8400,8400,2393.12,2393.12
-708.51,1,2019,0,0,0,0,0,708.51,708.51
541.59,1,2019,40,0,730,770,770,228.41,228.41
1108.77,1,2019,180,0,2200,2380,2380,1271.23,1271.23
1055.28,1,2019,170,0,2200,2370,2370,1314.72,1314.72
370.72,1,2019,100,0,1000,1100,1100,729.28,729.28
11430,1,2019,0,0,13920,13920,13920,2490,2490
13468.98,4,2019,25500,7999.49,0,33499.49,33499.49,20030.51,20030.51
8615.18,4,2019,10200,2076.06,0,12276.06,12276.06,3660.88,3660.88
50866.86,2,2019,13816,0,79900,93716,93716,38436.83,42849.14
621.02,2,2019,700,0,0,700,700,78.98,78.98
3181.62,1,2020,367.25,405.61,4567.25,5340.11,5340.11,2158.49,2158.49
546.69,1,2020,0,546.69,0,546.69,546.69,0,0
440.52,1,2020,440.52,0,0,440.52,440.52,0,0
4365.9,1,2020,600,589.92,5799.5,6989.42,6989.42,2623.52,2623.52
24962.87,2,2020,8110.19,239.82,37645,45995.01,45995.01,21032.14,21032.14
24962.87,2,2020,8110.19,239.82,37645,45995.01,45995.01,21032.14,21032.14
9394.17,3,2020,1788.41,129.42,16320,18237.83,18237.83,8843.66,8843.66
12683.44,3,2020,1120,3755.45,23019.7,27895.15,27895.15,15211.71,15211.71
7353.13,1,2020,2935.26,0,8400,11335.26,11335.26,3982.13,3982.13
3007.68,1,2020,3007.68,0,0,3007.68,3007.68,0,0
11851.3,3,2020,1190.25,0,25336.25,26526.5,26526.5,14675.2,14675.2
7333.65,1,2020,801.25,744.33,8761.25,10306.83,10306.83,2973.18,2973.18
7333.65,1,2020,801.25,744.33,8761.25,10306.83,10306.83,2973.18,2973.18
19420.05,2,2020,4238.47,0,23300,27538.47,27538.47,8118.42,8118.42
20878.15,1,2020,4366.26,0,43100,47466.26,47466.26,26588.11,26588.11
4221.83,1,2020,600,414.65,5950.5,6965.15,6965.15,2743.32,2743.32
71.04,1,2020,0,71.04,0,71.04,71.04,0,0
2823,1,2020,600,0,3300,3900,3900,1077,1077
4050.92,4,2020,1239.3,0,10105,11344.3,11344.3,7293.38,7293.38
